id, name,calories,protein, fat,carbs,vit_a,vit_d,vit_e,vit_b1,vit_b2,vit_c,salt
0001,アマランサス　玄穀,343.00,12.70,6.00,64.90,0.00,0.00,1.30,0.04,0.14,0.00,0.00
0002,あわ　精白粒,346.00,11.20,4.40,69.70,0.00,0.00,0.60,0.56,0.07,0.00,0.00
0003,あわ　あわもち,210.00,5.10,1.30,45.30,0.00,0.00,0.10,0.08,0.01,0.00,0.00
0004,えんばく　オートミール,350.00,13.70,5.70,69.10,0.00,0.00,0.60,0.20,0.08,0.00,0.00
0005,おおむぎ　七分つき押麦,343.00,10.90,2.10,72.10,0.00,0.00,0.20,0.22,0.07,0.00,0.00
0006,おおむぎ　押麦　乾,329.00,6.70,1.50,78.30,0.00,0.00,0.10,0.11,0.03,0.00,0.00
0007,おおむぎ　押麦　めし,118.00,2.20,0.50,28.50,0.00,0.00,0.00,0.02,0.00,0.00,0.00
0008,おおむぎ　米粒麦,333.00,7.00,2.10,76.20,0.00,0.00,0.10,0.19,0.05,0.00,0.00
0009,おおむぎ　大麦めん　乾,343.00,12.90,1.70,68.00,0.00,0.00,0.00,0.21,0.04,0.00,2.80
0010,おおむぎ　大麦めん　ゆで,121.00,4.80,0.60,24.30,0.00,0.00,0.00,0.04,0.01,0.00,0.20
0011,おおむぎ　麦こがし,368.00,12.50,5.00,77.10,0.00,0.00,0.50,0.09,0.10,0.00,0.00
0012,キヌア　玄穀,344.00,13.40,3.20,69.00,1.00,0.00,2.60,0.45,0.24,0.00,0.10
0013,きび　精白粒,353.00,11.30,3.30,70.90,0.00,0.00,0.00,0.34,0.09,0.00,0.00
0014,こむぎ　［玄穀］　国産　普通,329.00,10.80,3.10,72.10,0.00,0.00,1.20,0.41,0.09,0.00,0.00
0015,こむぎ　［玄穀］　輸入　軟質,344.00,10.10,3.30,75.20,0.00,0.00,1.20,0.49,0.09,0.00,0.00
0016,こむぎ　［玄穀］　輸入　硬質,332.00,13.00,3.00,69.40,0.00,0.00,1.20,0.35,0.09,0.00,0.00
0017,こむぎ　［小麦粉］　薄力粉　1等,349.00,8.30,1.50,75.80,0.00,0.00,0.30,0.11,0.03,0.00,0.00
0018,こむぎ　［小麦粉］　薄力粉　2等,345.00,9.30,1.90,74.30,0.00,0.00,1.00,0.21,0.04,0.00,0.00
0019,こむぎ　［小麦粉］　中力粉　1等,337.00,9.00,1.60,75.10,0.00,0.00,0.30,0.10,0.03,0.00,0.00
0020,こむぎ　［小麦粉］　中力粉　2等,346.00,9.70,1.80,74.00,0.00,0.00,0.80,0.22,0.04,0.00,0.00
